property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_count,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,reviews_per_month,availability_30,availability_60,availability_90,availability_365,instant_bookable,host_identity_verified,host_since,cancellation_policy,latitude,longitude,guests_included,extra_people,price
Bed & Breakfast,Hotel room,6,3,2,1,31,2,619,8,4,3.4,18,29,14,282,0,1,1800,moderate,40.7326341,-73.86844691,1,34,307
Apartment,Private room,5,2,5,5,21,3,41,12,5,1.4,9,51,35,179,1,1,1986,moderate,40.66501365,-73.85623508,1,35,223
Bed & Breakfast,Entire home/apt,5,3,1,1,47,7,1058,9,5,3.1,5,49,21,301,1,1,743,flexible,40.69733739,-73.75614019,4,10,239
House,Entire home/apt,7,1,2,1,25,3,662,9,2,1.5,2,33,66,215,1,1,1287,strict_14_with_grace_period,40.80522703,-73.89802324,2,24,320
Townhouse,Entire home/apt,5,1,4,4,24,2,712,15,3,2.7,5,19,0,194,0,1,1242,strict_14_with_grace_period,40.52092488,-73.73938827,4,39,285
Townhouse,Private room,5,1,3,2,45,7,1119,7,4,3.8,1,10,43,152,1,0,450,strict,40.86742238,-73.80609825,NA,35,282
House,Entire home/apt,9,2,1,1,36,7,470,13,1,3.7,19,10,39,352,0,1,1564,flexible,40.63113043,-73.96912914,3,32,294
Condominium,Entire home/apt,9,3,5,4,28,3,1078,NA,2,2.7,24,37,90,327,1,1,3161,moderate,40.50303389,-73.7246724,3,10,484
Condominium,Entire home/apt,3,3,4,5,22,9,605,10,4,4.1,22,50,54,64,0,1,2838,strict,40.83935608,-73.88584293,4,39,270
House,Entire home/apt,2,3,4,3,35,5,747,10,2,3.8,4,1,52,22,0,1,3303,strict,40.73945011,-73.91100286,2,43,262
House,Entire home/apt,4,2,3,4,26,1,888,10,4,0,27,34,41,265,1,1,2482,moderate,40.6424945,-73.78531789,1,9,331
House,Entire home/apt,7,4,4,4,35,7,943,10,4,2.7,8,4,46,141,1,1,2072,strict_14_with_grace_period,40.57013253,-73.95217869,2,14,449
Loft,Entire home/apt,8,3,5,6,6,7,983,7,1,3.6,17,1,21,6,1,1,2666,moderate,40.72461728,-73.78749025,4,35,315
Apartment,Entire home/apt,3,2,3,2,28,8,835,11,3,4.5,2,28,48,101,0,0,2304,moderate,40.63740295,-73.84659847,3,2,301
NA,Entire home/apt,1,3,5,5,38,1,885,16,5,4.4,8,39,68,349,0,1,3108,strict,40.83108619,-73.72930997,2,46,NA
Townhouse,NA,9,3,1,1,23,9,988,12,4,1.7,29,22,60,296,1,0,3034,flexible,40.8371889,-73.82713337,2,2,396
Apartment,Entire home/apt,5,4,5,5,45,1,751,11,2,1.7,22,60,12,202,0,0,3432,moderate,40.80229736,-73.85106319,2,26,430
Bed & Breakfast,Entire home/apt,1,3,3,2,32,3,87,14,5,4.1,4,47,78,349,1,1,224,moderate,40.69150369,-73.97210428,3,25,197
Loft,Shared room,3,4,4,3,34,3,1124,18,1,4,2,47,44,238,1,1,794,strict,40.82990422,-73.74586816,4,41,276
Bed & Breakfast,Private room,2,1,4,3,9,5,430,11,4,2.1,4,19,1,181,1,1,708,strict,40.63555395,-73.8595716,3,7,252
Condominium,Private room,4,4,2,2,44,5,538,8,1,4.7,6,42,26,94,0,1,1602,strict_14_with_grace_period,40.74508253,-73.78023959,4,35,432
Loft,Entire home/apt,8,1,5,6,41,3,724,10,2,0.6,6,11,58,41,1,1,1607,moderate,40.59151785,-73.9705925,4,23,326
Condominium,Entire home/apt,7,4,4,5,18,8,372,12,2,4.6,13,56,2,207,0,1,344,flexible,40.65852499,-73.76706739,1,25,384
Bed & Breakfast,Entire home/apt,3,4,1,2,15,8,1058,8,3,0.4,30,32,0,220,1,1,3287,moderate,40.6994705,-73.94600756,4,41,231
Loft,Entire home/apt,9,1,1,2,47,7,586,11,2,0.4,24,7,58,5,1,1,2505,moderate,40.67496503,-73.82902938,4,36,444
Apartment,Entire home/apt,2,3,4,5,26,8,748,10,3,0.1,8,45,56,229,1,0,2916,flexible,40.64326533,-73.89371619,3,18,283
Bed & Breakfast,Entire home/apt,7,1,1,1,34,1,92,12,4,0,11,21,42,330,1,1,2823,moderate,40.55321902,-73.78969586,1,29,329
House,Entire home/apt,5,3,4,4,13,8,229,8,4,3.6,27,41,43,320,1,0,3635,flexible,40.87955536,-73.79007109,1,23,318
Condominium,Private room,7,2,5,4,40,4,939,6,4,2.8,25,37,88,1,0,1,47,strict,40.56475686,-73.86740637,4,28,391
Apartment,Entire home/apt,6,1,3,2,18,7,579,3,2,4.4,14,27,45,173,1,1,351,strict,40.89332354,-73.95012946,4,32,225
House,Entire home/apt,6,2,5,5,15,4,833,8,2,3.5,3,28,10,332,1,1,1492,strict,40.76304448,-73.87191817,4,15,345
Bed & Breakfast,Entire home/apt,3,4,3,3,18,3,41,9,1,3,14,38,0,95,1,1,3090,flexible,40.73312999,-73.81843833,2,34,327
Apartment,Private room,9,4,2,3,24,9,323,9,2,3.4,30,12,4,234,1,1,992,strict_14_with_grace_period,40.85117078,-73.7816808,1,48,270
Condominium,Entire home/apt,1,1,3,3,41,5,370,12,3,1.1,1,47,7,209,1,1,2735,moderate,40.82702221,-73.74049885,2,32,343
Bed & Breakfast,Private room,1,4,4,3,25,1,533,11,1,4,5,18,16,357,1,1,1554,flexible,40.73249508,-73.85690461,3,38,281
Townhouse,Private room,4,3,3,4,24,9,460,13,4,2.9,5,35,59,204,0,1,1233,flexible,40.56282473,-73.78237636,1,46,216
Bed & Breakfast,Entire home/apt,8,1,4,4,32,4,368,9,3,0.4,27,4,79,256,1,0,1172,NA,40.61666452,-73.78561208,1,1,351
House,Private room,9,1,2,2,44,1,1107,10,4,4.7,15,57,30,104,1,1,3321,flexible,40.85922078,-73.93569558,4,8,365
Apartment,Entire home/apt,7,1,70,3,49,3,964,8,2,1.5,16,2,4,319,0,0,341,strict_14_with_grace_period,40.81727899,-73.72301026,4,31,351
Apartment,Entire home/apt,5,1,2,2,6,6,349,11,3,5,5,37,5,118,0,0,2993,flexible,40.82262383,-73.80789132,4,8,231
House,Entire home/apt,7,3,2,3,7,2,366,6,4,3.9,3,56,90,48,0,1,1448,strict,40.83711205,-73.73876384,3,42,364
Apartment,Private room,9,1,1,2,21,8,298,10,2,3.9,4,22,26,290,0,1,381,strict,40.66977179,-73.93854441,3,7,227
Loft,Entire home/apt,2,2,5,5,44,5,744,13,2,1,22,50,31,247,0,1,453,flexible,40.77379771,-73.97058512,1,11,NA
Bed & Breakfast,Entire home/apt,9,2,1,1,13,3,1047,9,2,0.3,21,23,1,278,0,0,1728,flexible,40.64498412,-73.74932573,4,6,263
Apartment,Entire home/apt,3,3,1,1,34,4,919,13,4,4.3,18,13,24,364,0,0,1254,flexible,40.59996616,-73.87026086,1,27,197
Condominium,Entire home/apt,1,3,2,2,44,9,649,1,4,2.1,24,59,47,109,0,0,2904,moderate,40.66178906,-73.94694671,3,47,362
NA,Entire home/apt,6,1,1,2,22,8,199,12,1,3.2,17,57,51,315,1,1,1658,strict_14_with_grace_period,40.79931747,-73.87427408,3,2,273
Loft,Entire home/apt,9,3,4,5,33,5,60,12,1,4.4,19,55,29,167,1,1,181,moderate,40.60653295,-73.72084228,4,9,332
Condominium,Private room,9,4,2,2,7,9,660,8,2,4.9,16,3,57,166,0,1,1953,strict,40.89412576,-73.80647462,2,47,209
Condominium,Entire home/apt,4,2,3,4,NA,2,1118,8,1,0.2,27,57,4,233,0,1,2529,flexible,40.72379046,-73.77494564,2,14,324
Townhouse,Private room,9,4,3,2,33,3,345,9,3,3,4,41,11,276,0,1,684,strict_14_with_grace_period,40.6267708,-73.97795363,4,32,435
Bed & Breakfast,Private room,7,1,4,4,15,5,462,15,3,0.8,9,41,47,12,0,1,3055,strict_14_with_grace_period,40.55779737,-73.82758635,4,20,322
Townhouse,Private room,3,4,2,1,30,6,958,11,4,2.6,27,12,68,156,0,1,2477,moderate,40.77661588,-73.84150253,4,13,256
Condominium,Entire home/apt,5,1,4,5,13,9,261,11,2,1,16,51,84,136,0,1,548,strict,40.6419747,-73.83905636,2,41,277
Townhouse,Entire home/apt,7,4,3,4,42,6,833,16,4,3.6,21,34,11,209,1,0,1232,strict,40.66461068,-73.96577955,2,37,331
House,Private room,4,4,1,1,43,6,622,13,3,2.8,10,40,78,132,1,0,2470,flexible,40.5665611,-73.79420391,2,42,355
Bed & Breakfast,Entire home/apt,4,3,2,2,39,9,410,10,2,0.3,1,47,28,72,0,1,975,moderate,40.65027186,-73.78797288,2,44,362
Loft,Entire home/apt,9,4,2,3,43,1,228,12,1,1.1,30,6,66,333,0,1,634,strict_14_with_grace_period,40.50729677,-73.88115628,4,1,464
House,Private room,4,2,3,2,7,5,872,12,2,4.2,25,18,64,188,1,1,3273,strict_14_with_grace_period,40.54332299,-73.97164399,2,9,324
Loft,Entire home/apt,4,1,3,3,41,3,350,13,4,3.5,27,4,32,309,1,1,250,flexible,40.60064879,-73.95782084,1,42,289
Apartment,Entire home/apt,7,4,1,1,6,3,1093,13,4,3.8,25,47,25,288,1,1,746,strict,40.50998246,-73.99573604,3,45,294
Apartment,Entire home/apt,8,3,1,1,32,8,190,13,4,2.3,12,49,73,342,0,0,773,flexible,40.71959292,-73.79880062,2,16,360
Loft,Entire home/apt,5,3,1,2,48,3,220,8,3,4.9,0,33,20,113,1,1,881,flexible,40.84064171,-73.7496686,1,19,301
Apartment,Entire home/apt,5,1,4,3,23,4,558,9,4,3.1,15,44,12,170,1,1,415,flexible,40.69682433,-73.95870931,2,39,314
Condominium,Entire home/apt,2,2,1,1,23,9,337,12,4,4.8,0,7,63,98,0,1,545,flexible,40.58607816,-73.72706338,1,31,311
Bed & Breakfast,Entire home/apt,5,2,3,2,8,7,544,9,4,3,1,24,4,325,0,1,3005,strict_14_with_grace_period,40.67001359,-73.75184336,3,10,-156
Bed & Breakfast,Private room,7,3,3,3,31,7,793,12,5,2.8,28,29,35,81,0,1,2520,NA,40.59425195,-73.88085993,1,20,361
Condominium,Entire home/apt,4,4,5,4,48,5,298,9,2,1.2,2,55,20,211,0,1,2861,strict_14_with_grace_period,40.6183856,-73.98313822,2,18,372
House,Entire home/apt,9,3,5,4,33,6,569,12,3,3.3,29,41,71,136,0,1,3205,flexible,40.57421614,-73.89951408,2,7,493
House,Entire home/apt,8,3,2,1,9,7,1027,4,4,4.7,23,59,52,334,0,1,389,strict,40.57928222,-73.79545677,4,33,367
Apartment,Entire home/apt,5,1,2,3,46,5,448,5,5,1.4,5,12,39,88,1,1,1812,moderate,40.73286147,-73.98884003,3,4,346
Loft,Shared room,6,1,3,4,22,6,401,17,1,1,22,36,34,NA,1,1,3416,flexible,40.73348441,-73.94741947,1,17,265
Townhouse,Entire home/apt,2,1,5,6,41,5,1087,8,1,4.6,19,10,66,228,1,1,3371,flexible,40.5165297,-73.83791523,2,48,305
Townhouse,Private room,1,4,2,3,28,6,934,11,1,2.8,NA,44,39,204,1,1,541,strict,40.77749859,-73.7693981,2,20,330
Bed & Breakfast,Entire home/apt,4,1,3,4,23,5,1022,14,3,2.7,29,11,30,225,1,0,241,strict_14_with_grace_period,40.57014406,-73.84850998,1,12,253
Townhouse,Entire home/apt,2,4,5,4,14,7,220,7,2,3.2,4,13,3,123,0,1,3214,strict,40.69156091,-73.95603392,4,47,348
Bed & Breakfast,Private room,5,3,1,1,10,6,885,10,3,0.7,13,8,53,363,1,0,1251,strict,40.52736779,-73.97436702,4,25,293
Loft,Shared room,6,2,3,2,30,2,797,7,3,1.6,28,14,58,93,1,1,1940,strict,40.82567036,-73.78046387,2,1,345
Condominium,Entire home/apt,6,4,1,2,39,6,581,7,1,4.4,4,39,47,63,0,1,798,flexible,40.89259928,-73.958796,3,1,NA
Apartment,Entire home/apt,3,2,1,1,44,7,785,13,3,3.2,4,13,23,268,1,0,216,flexible,40.50406135,-73.70138428,2,3,326
House,Entire home/apt,1,2,4,3,10,2,502,10,4,4.3,24,2,52,77,0,1,1627,strict,40.51543907,-73.94793634,2,22,285
Loft,Entire home/apt,9,2,2,3,47,9,1030,7,4,0.9,17,18,74,86,0,1,3216,strict_14_with_grace_period,40.82491326,-73.99417185,2,38,290
House,Entire home/apt,4,4,4,4,36,4,1103,12,1,4.1,6,4,82,20,1,1,3225,moderate,40.567601,-73.89863498,3,16,459
Bed & Breakfast,Entire home/apt,5,3,4,3,12,5,231,14,2,4.3,5,1,64,337,0,1,820,strict,40.51215423,-73.91968547,4,36,281
Condominium,Entire home/apt,5,2,2,3,32,2,979,12,4,4.2,18,3,11,353,1,1,1729,strict_14_with_grace_period,NA,-73.81386719,1,10,354
Bed & Breakfast,Entire home/apt,6,2,5,6,24,2,210,8,2,0.7,29,8,0,309,1,1,1497,flexible,40.83295531,-73.74330895,2,49,335
Apartment,Entire home/apt,5,3,5,5,13,7,1038,11,2,3.9,21,13,75,29,0,1,178,strict_14_with_grace_period,40.58510936,-73.70412031,1,29,330
Condominium,Entire home/apt,8,3,3,3,25,4,849,16,4,1.5,0,23,83,136,1,1,2795,strict,40.8770294,-73.93746078,3,5,369
House,Entire home/apt,5,4,2,3,23,8,856,8,2,4.2,11,26,2,108,0,0,2761,strict_14_with_grace_period,40.52856415,-73.74807565,3,19,386
Bed & Breakfast,Entire home/apt,9,3,3,3,16,2,1047,7,4,1,21,45,56,320,0,0,3200,strict_14_with_grace_period,40.72919344,-73.77461903,3,18,396
Apartment,Private room,8,3,5,5,31,9,113,13,2,3,5,21,55,176,0,1,122,flexible,40.84017608,-73.80316108,2,40,304
Loft,Entire home/apt,1,4,5,5,11,3,677,4,4,NA,7,57,86,360,0,1,2465,strict,40.8231369,-73.8375123,2,39,291
Apartment,Entire home/apt,2,3,3,4,31,6,798,6,1,4.8,7,21,7,125,0,1,1910,flexible,40.67558844,-73.87963338,2,38,289
Bed & Breakfast,Shared room,9,2,5,6,29,8,587,12,3,4.6,14,8,7,24,0,1,2222,flexible,40.58972546,-73.86615185,2,17,354
Townhouse,Entire home/apt,8,3,5,5,10,9,737,13,4,3.3,15,43,82,55,1,0,279,flexible,40.71337617,-73.99674923,3,7,382
Condominium,Private room,7,4,3,2,48,6,338,7,2,0.4,20,7,NA,348,0,1,3434,moderate,40.51255185,-73.9622651,1,20,425
House,Entire home/apt,8,2,2,2,34,4,218,5,2,4.4,12,48,43,77,1,1,842,strict,40.51983713,-73.84944297,2,11,413
Townhouse,Entire home/apt,7,3,3,4,33,7,902,8,5,3,15,36,75,308,1,0,496,strict,40.59352362,-73.94590611,3,17,279
Bed & Breakfast,Entire home/apt,1,3,2,1,16,2,454,NA,4,1.4,7,15,67,262,0,1,1791,moderate,40.8585258,-73.9840969,2,5,138
Bed & Breakfast,Entire home/apt,9,2,4,4,42,7,506,11,2,2.3,0,28,81,78,0,1,771,flexible,40.89259298,-73.98110636,2,3,401
Apartment,Entire home/apt,3,3,3,2,41,4,1090,11,3,0.3,5,12,18,61,0,1,2510,flexible,40.75193663,-73.71246091,3,7,248
Condominium,Hotel room,8,1,4,3,12,8,623,10,5,4.6,1,57,77,103,1,1,3456,strict,40.57524559,-73.72110163,3,28,213
Townhouse,Entire home/apt,1,1,1,2,28,7,771,12,3,3.4,5,19,7,257,0,1,775,strict_14_with_grace_period,40.70817618,-73.92492248,2,47,264
House,Hotel room,8,3,1,2,29,5,906,16,1,4.8,20,NA,90,76,0,1,3140,flexible,40.58661927,-73.92467916,4,28,402
House,Shared room,4,2,3,2,47,2,193,10,2,1.2,3,40,46,55,1,1,2886,strict_14_with_grace_period,40.56264937,-73.86128339,3,49,341
House,Entire home/apt,9,2,4,3,44,2,941,8,1,1.4,16,59,73,158,0,1,3306,flexible,40.66382291,-73.95969631,2,29,434
Condominium,Entire home/apt,3,1,5,6,39,4,704,10,4,0,8,58,74,295,NA,1,2549,strict_14_with_grace_period,40.70248135,-73.93981362,4,49,339
Townhouse,Entire home/apt,8,3,3,2,48,8,1095,10,5,0.6,3,50,71,132,1,1,2354,strict,40.86911163,-73.85981971,1,45,459
Apartment,Private room,8,4,3,4,38,1,323,9,3,3.3,1,24,8,265,0,0,1983,strict,40.7778081,-73.87830352,4,34,340
Loft,Hotel room,2,4,5,4,16,8,458,15,4,2.7,19,10,20,24,1,1,1195,strict,40.76515391,-73.70438899,4,45,394
Bed & Breakfast,Entire home/apt,9,4,1,1,17,8,596,10,2,3.9,18,21,17,137,0,1,1105,strict,40.83847041,-73.84762666,1,44,353
House,Entire home/apt,3,3,2,2,46,7,400,10,4,4.9,6,33,87,217,1,1,770,moderate,40.63422325,-73.79465689,1,13,295
Loft,Private room,4,2,1,1,NA,6,366,16,4,4.3,14,38,19,287,0,0,411,strict,40.74693541,-73.85896236,1,32,278
Condominium,Entire home/apt,5,3,5,6,8,7,203,9,5,3.9,7,5,79,9,0,1,577,strict,40.89934611,-73.98880657,2,49,251
Loft,Entire home/apt,4,1,1,1,44,7,439,10,4,0.9,6,38,85,126,1,1,1502,strict,40.61109182,-73.96045469,4,34,242
Apartment,Entire home/apt,5,3,4,4,37,5,653,13,4,2.4,21,1,83,259,1,1,3457,moderate,40.85203448,-73.94078134,2,39,293
Castle,Entire home/apt,4,1,3,3,34,2,121,10,3,1.9,25,59,26,323,1,1,2859,strict_14_with_grace_period,40.84327008,-73.82185888,1,29,253
Condominium,Shared room,5,2,2,2,40,3,536,9,2,4.2,17,33,25,214,0,0,1183,flexible,40.80989327,-73.79734111,3,45,348
Condominium,Entire home/apt,6,1,2,2,27,3,220,8,3,4.8,17,47,24,345,1,1,567,strict,40.54804229,-73.77655803,1,36,240
Townhouse,Entire home/apt,2,4,2,1,37,9,258,7,3,1.5,18,42,7,34,1,1,2445,flexible,40.87869791,-73.71182299,2,11,408
Condominium,Entire home/apt,1,3,2,3,41,3,168,13,4,3.6,26,46,74,67,1,1,3272,moderate,40.8643625,-73.87753121,3,39,296
House,Shared room,6,2,2,1,13,3,713,9,5,3.2,21,27,35,260,1,1,2243,strict_14_with_grace_period,40.88554464,-73.76702116,3,2,175
Townhouse,Entire home/apt,1,1,5,5,34,8,356,11,3,1.9,9,30,50,279,0,0,3135,strict_14_with_grace_period,40.70551459,-73.74211197,4,15,386
Castle,Entire home/apt,7,4,1,1,13,1,602,10,3,0.8,30,38,37,157,0,1,747,moderate,40.62209353,-73.91805488,2,47,344
Condominium,Entire home/apt,8,2,2,2,9,6,263,12,5,4.7,0,53,42,100,1,1,2264,strict,40.63676941,-73.83450474,1,37,340
Townhouse,Entire home/apt,5,4,3,3,42,7,1050,8,3,2.5,26,32,6,182,1,0,456,strict,40.76595574,-73.74742851,2,31,330
Townhouse,Entire home/apt,8,3,5,6,11,3,45,8,4,3.1,16,26,57,274,0,0,3547,flexible,40.5972814,-73.81099077,4,48,260
House,Entire home/apt,7,3,1,1,36,7,109,10,4,4.4,20,4,23,183,1,1,3166,moderate,40.58799274,-73.81965632,2,47,315
Bed & Breakfast,Entire home/apt,1,4,5,5,6,1,290,12,3,1.1,0,0,43,141,1,1,3160,flexible,40.62277375,-73.88441178,3,42,187
Townhouse,Entire home/apt,7,1,3,4,48,8,590,9,2,3.8,28,47,66,60,0,0,412,strict_14_with_grace_period,40.57797618,-73.72972873,4,44,350
Bed & Breakfast,Private room,8,2,5,5,33,8,852,6,4,0.9,24,16,1,191,1,1,1906,moderate,40.65079145,-73.82182985,4,29,374
Condominium,Private room,5,4,5,4,26,7,653,10,3,3.1,28,24,89,174,0,0,2746,flexible,40.8718688,-73.88665517,4,1,418
Townhouse,Private room,8,1,1,2,24,4,675,8,1,2.9,0,0,15,194,1,1,559,flexible,40.86544813,-73.73078164,1,23,335
Condominium,Entire home/apt,1,3,3,3,31,5,785,7,2,2.5,22,33,41,242,1,0,2711,strict,40.60651686,-73.7032829,2,18,363
House,Entire home/apt,1,4,4,5,34,7,335,14,5,4,22,59,81,319,1,1,2129,moderate,40.8058312,-73.88065268,3,30,368
Condominium,Shared room,4,3,2,1,25,8,666,5,5,2.3,19,49,75,24,0,1,706,moderate,40.68841964,-73.99384253,2,18,324
House,Entire home/apt,2,1,3,4,49,7,726,10,1,3.7,27,44,88,251,0,1,474,flexible,40.69149403,-73.98568608,4,12,394
Castle,Hotel room,7,1,2,2,23,1,709,11,3,4.8,1,20,31,222,0,1,1013,strict,40.61272432,-73.96988379,1,31,304
Townhouse,Entire home/apt,5,2,3,2,14,7,943,5,4,3.7,4,30,43,26,1,0,384,moderate,40.88846081,-73.84653371,2,3,230
Townhouse,Private room,7,4,2,2,9,6,146,10,4,2.3,16,20,53,330,0,0,208,flexible,40.69075784,-73.99766934,2,27,282
Condominium,Entire home/apt,7,3,2,3,46,5,742,9,5,0.8,1,51,8,232,1,1,1391,moderate,40.68693399,-73.71466865,3,45,427
House,Entire home/apt,9,4,4,4,42,2,945,10,5,3.4,26,42,44,10,1,1,3127,moderate,40.83091948,-73.98101884,3,47,566
Condominium,Hotel room,6,3,1,2,46,3,201,9,1,3.5,10,30,60,116,1,0,1736,moderate,40.56890051,-73.99086333,3,9,332
Bed & Breakfast,Entire home/apt,3,1,1,2,22,9,693,9,4,3.2,1,30,60,133,0,1,3192,strict_14_with_grace_period,40.59260148,-73.90969697,4,21,226
House,Entire home/apt,7,3,2,2,31,6,258,13,2,3.9,20,20,80,205,1,1,1903,moderate,40.88847029,-73.95993218,4,30,367
Apartment,Entire home/apt,9,2,5,6,5,4,295,12,2,0,17,18,59,342,1,1,975,strict,40.75848877,-73.73490167,1,48,264
Townhouse,Entire home/apt,4,4,3,4,7,7,261,13,2,0.3,19,19,35,365,1,1,3400,strict_14_with_grace_period,40.50845637,-73.99345344,1,47,326
Bed & Breakfast,Hotel room,1,4,1,1,45,8,741,10,1,4.7,20,52,77,200,0,1,187,moderate,40.65327922,-73.94940203,3,21,254
Bed & Breakfast,Entire home/apt,2,1,3,3,24,4,1096,10,3,4.9,2,5,39,363,1,1,34,strict_14_with_grace_period,40.85943385,-73.70212303,4,37,206
House,Entire home/apt,9,3,4,3,49,3,214,11,3,4.4,10,47,65,138,1,1,1918,flexible,40.50087189,-73.77434733,3,27,436
House,Entire home/apt,5,4,5,6,42,5,1117,6,2,3.7,14,14,60,0,1,1,1748,flexible,40.78543478,-73.74645511,4,48,444
Apartment,Entire home/apt,8,4,5,6,42,2,316,8,2,3.9,15,60,56,234,0,0,352,strict,40.72994364,-73.99785833,1,22,467
Loft,Entire home/apt,4,2,5,5,41,7,801,9,2,3.3,30,53,64,44,1,0,1290,flexible,40.53030906,-73.99844345,4,3,385
Loft,Entire home/apt,2,4,5,4,23,3,1003,9,1,1.5,11,46,30,161,0,1,2420,strict,40.74015596,-73.70965415,3,2,317
Loft,Entire home/apt,1,2,1,2,33,1,749,12,2,1.9,2,57,0,222,0,1,2321,flexible,40.87290997,-73.79380433,3,11,181
Townhouse,Entire home/apt,1,3,4,4,25,7,769,7,2,3.1,18,42,7,336,1,1,1687,strict,40.57495956,-73.97264302,3,17,359
House,Entire home/apt,1,1,3,2,18,2,115,13,4,1.6,26,39,58,184,0,1,3381,strict,40.52331069,-73.75908729,2,29,279
Townhouse,Entire home/apt,9,3,3,4,35,3,774,11,2,2.1,28,30,67,336,1,1,2476,strict,40.61549987,-73.70261902,4,44,428
Apartment,Private room,3,4,1,1,13,4,940,10,4,0.8,7,31,76,229,0,1,1053,moderate,40.69035718,-73.9881652,3,23,189
Condominium,Entire home/apt,1,2,4,4,41,2,95,12,2,3.3,3,7,20,304,0,1,289,flexible,40.55614295,-73.888832,3,37,277
Townhouse,Private room,2,2,1,1,46,3,54,4,4,1.8,16,38,22,194,0,1,3557,strict_14_with_grace_period,40.57202021,-73.98811112,4,38,292
Bed & Breakfast,Entire home/apt,3,2,5,5,46,6,422,14,1,2.6,13,39,27,97,0,0,3324,strict_14_with_grace_period,40.73028459,-73.80808184,4,49,381
House,Entire home/apt,9,1,3,3,9,1,218,17,3,3,21,38,50,185,0,1,397,moderate,40.69009424,NA,3,44,266
Bed & Breakfast,Private room,4,1,4,NA,9,6,557,14,4,2.5,10,39,11,307,0,0,1558,moderate,40.79945779,-73.98620373,4,11,334
Townhouse,Entire home/apt,4,2,2,2,12,1,651,5,4,1.2,25,15,72,10,0,1,2507,flexible,40.82930434,-73.940156,4,47,219
Bed & Breakfast,Entire home/apt,3,3,4,5,24,9,565,8,2,2.2,17,3,0,319,0,1,1390,strict,40.83904931,-73.71993335,1,3,364
NA,Entire home/apt,9,1,5,5,26,3,972,8,3,1.6,1,15,55,120,1,1,1802,strict_14_with_grace_period,40.77884367,-73.74368431,2,45,447
Loft,Private room,2,1,1,1,48,8,991,13,2,0.4,24,36,67,314,0,1,1828,flexible,40.7240946,-73.74355616,1,40,343
Townhouse,Private room,6,3,5,5,40,7,859,11,5,0.4,9,10,12,132,0,0,655,flexible,40.62517402,-73.86903378,1,10,326
Condominium,Entire home/apt,2,3,2,1,36,7,64,10,4,2.7,16,23,63,175,1,0,462,strict_14_with_grace_period,40.81235145,-73.77289364,4,9,320
Townhouse,Private room,6,1,2,1,21,9,74,8,3,1,11,25,50,134,1,1,973,strict,40.78918749,-73.95775461,2,24,233
Townhouse,Entire home/apt,3,2,3,2,44,9,682,8,4,1.3,4,32,33,110,1,1,418,flexible,40.55828728,-73.91019168,4,39,274
Apartment,Entire home/apt,6,4,3,4,47,7,440,24,4,4.1,10,47,25,36,1,0,2383,flexible,40.56602442,-73.839203,3,33,339
Townhouse,Entire home/apt,6,4,4,3,22,7,48,12,4,1.5,25,32,14,150,1,0,1977,strict,40.55044353,-73.85280913,3,41,374
Townhouse,Entire home/apt,8,2,5,5,33,3,1117,10,4,0.2,7,31,54,322,1,1,1540,flexible,40.68657112,-73.964637,4,18,348
Bed & Breakfast,Entire home/apt,7,3,2,3,15,2,895,9,4,4.7,19,38,66,7,1,1,1541,strict,40.70302105,-73.74333838,1,7,362
Bed & Breakfast,Entire home/apt,4,1,1,2,28,4,771,7,4,2.5,10,48,9,271,1,1,3582,strict_14_with_grace_period,40.71830941,-73.8062517,2,24,246
House,Entire home/apt,3,3,5,6,22,6,181,11,3,2.4,4,24,15,57,1,1,206,strict,40.60011199,-73.88272793,1,20,298
Townhouse,Hotel room,3,2,4,4,33,7,620,8,5,1.5,14,20,47,351,0,1,2019,moderate,40.51202517,-73.93322145,2,17,355
Apartment,Shared room,7,2,1,1,43,1,673,8,2,2.8,17,48,2,234,0,0,1575,moderate,40.58694237,-73.89957356,2,25,315
House,Entire home/apt,5,1,3,3,31,7,689,12,3,2.6,3,58,14,120,1,1,194,moderate,40.52929638,-73.92125141,2,36,338
Condominium,Entire home/apt,2,1,3,4,11,9,760,12,2,1.2,1,1,34,258,0,1,2325,flexible,40.6345981,-73.9547563,2,15,227
Loft,Hotel room,5,4,1,1,18,5,317,7,1,4.2,1,6,34,194,1,1,3250,strict,40.57417677,-73.82197683,2,46,360
House,Entire home/apt,8,2,3,4,NA,1,78,14,5,2.5,25,12,14,307,0,1,2188,strict,40.53001002,-73.85680519,3,41,275
Condominium,Entire home/apt,2,2,NA,1,27,3,482,12,5,1.9,20,9,78,309,0,1,2566,strict,40.81449678,-73.83035835,2,6,247
Condominium,Entire home/apt,4,4,3,3,7,5,631,8,3,0.6,11,3,13,290,0,0,973,flexible,40.85520872,-73.95493911,3,35,413
Apartment,Private room,7,2,5,4,7,6,862,10,2,2,29,18,37,219,0,1,1675,strict_14_with_grace_period,40.80644163,-73.73996408,4,33,372
Bed & Breakfast,Private room,4,4,5,6,14,3,102,15,4,3.2,23,49,31,56,0,1,1000,moderate,40.76089115,-73.71258124,1,10,287
Loft,Private room,5,2,1,1,22,9,NA,4,3,1.7,16,41,82,199,0,1,3467,flexible,40.61086859,-73.91566424,4,6,284
